sample_id,texture_class,image,setting,site,device,captured_at,quality_verdict,quality_flags,blur_score,mean_luminance,clipped_fraction,contrast_score,color_cast_score,specular_fraction,roi_side_px,source_format,source_group,source_width,source_height,sample_id_source
"100262,1",Arenosa,"images/Arenosa/100262,1 (1).JPEG",dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
"100262,1",Arenosa,"images/Arenosa/100262,1 (2).JPEG",dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
"100262,1",Arenosa,"images/Arenosa/100262,1 (3).JPEG",dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
"100262,1",Arenosa,"images/Arenosa/100262,1 (4).JPEG",dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
"100282,1",Arenosa,"images/Arenosa/100282,1 (1).JPEG",dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
"100282,1",Arenosa,"images/Arenosa/100282,1 (2).JPEG",dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
"100282,1",Arenosa,"images/Arenosa/100282,1 (3).JPEG",dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
"100282,1",Arenosa,"images/Arenosa/100282,1 (4).JPEG",dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
111656-2,Arenosa,images/Arenosa/111656-2 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
111656-2,Arenosa,images/Arenosa/111656-2 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
1117021-1,Arenosa,images/Arenosa/1117021-1 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
1117021-1,Arenosa,images/Arenosa/1117021-1 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
112098-13,Arenosa,images/Arenosa/112098-13 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
112098-13,Arenosa,images/Arenosa/112098-13 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
112098-13,Arenosa,images/Arenosa/112098-13 (3).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
112098-13,Arenosa,images/Arenosa/112098-13 (4).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
116515_4,Arenosa,images/Arenosa/116515_4 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
